subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,25679
Washington D.C.,twinned administrative body,Maryland,25679
Alabama,shares border with,Washington D.C.,25679
Arizona,shares border with,Washington D.C.,25679
California,shares border with,Washington D.C.,25679
Illinois,shares border with,Washington D.C.,25679
Missouri,shares border with,Washington D.C.,25679
Nevada,shares border with,Washington D.C.,25679
New Jersey,shares border with,Washington D.C.,25679
New York,shares border with,Washington D.C.,25679
Alabama,shares border with,Washington D.C.,25679
Arizona,shares border with,Washington D.C.,25679
California,shares border with,Washington D.C.,25679
Illinois,shares border with,Washington D.C.,25679
Missouri,shares border with,Washington D.C.,25679
Nevada,shares border with,Washington D.C.,25679
New Jersey,shares border with,Washington D.C.,25679
New Mexico,shares border with,Washington D.C.,25679
