text,label,fe_id
SPRINGFIELD,GPE,23944
IL,ORG,23944
three,CARDINAL,23944
Taylorville,GPE,23944
IL,ORG,23944
WICS-TV,ORG,23944
Lee Kennedy,PERSON,23944
43,DATE,23944
Taylorville,GPE,23944
Memorial Medical Center,ORG,23944
Springfield,GPE,23944
early Tuesday afternoon,TIME,23944
Taylorville Memorial Hospital,FAC,23944
Monday afternoon,TIME,23944
Monday,DATE,23944
Taylorville,GPE,23944
Brian Hile,PERSON,23944
Kennedy,PERSON,23944
four,CARDINAL,23944
500,CARDINAL,23944
South Walnut Street,GPE,23944
Taylorville,GPE,23944
Kennedy,PERSON,23944
1996,DATE,23944
GMS Sierra,ORG,23944
McDonald’s,ORG,23944
Hillsboro,GPE,23944
IL,ORG,23944
Kennedy,PERSON,23944
Kennedy,PERSON,23944
Taylorville,GPE,23944
Taylorville Memorial Hospital,FAC,23944
Kennedy,PERSON,23944
Monday,DATE,23944
Kennedy,PERSON,23944
39.809596,CARDINAL,23944
