subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,13677
Washington D.C.,twinned administrative body,Maryland,13677
Alabama,shares border with,Washington D.C.,13677
Arizona,shares border with,Washington D.C.,13677
California,shares border with,Washington D.C.,13677
Illinois,shares border with,Washington D.C.,13677
Missouri,shares border with,Washington D.C.,13677
Nevada,shares border with,Washington D.C.,13677
New Jersey,shares border with,Washington D.C.,13677
New York,shares border with,Washington D.C.,13677
Alabama,shares border with,Washington D.C.,13677
Arizona,shares border with,Washington D.C.,13677
California,shares border with,Washington D.C.,13677
Illinois,shares border with,Washington D.C.,13677
Missouri,shares border with,Washington D.C.,13677
Nevada,shares border with,Washington D.C.,13677
New Jersey,shares border with,Washington D.C.,13677
New Mexico,shares border with,Washington D.C.,13677
