subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,20595
Washington D.C.,twinned administrative body,Maryland,20595
Alabama,shares border with,Washington D.C.,20595
Arizona,shares border with,Washington D.C.,20595
California,shares border with,Washington D.C.,20595
Illinois,shares border with,Washington D.C.,20595
Missouri,shares border with,Washington D.C.,20595
Nevada,shares border with,Washington D.C.,20595
New Jersey,shares border with,Washington D.C.,20595
New York,shares border with,Washington D.C.,20595
Alabama,shares border with,Washington D.C.,20595
Arizona,shares border with,Washington D.C.,20595
California,shares border with,Washington D.C.,20595
Illinois,shares border with,Washington D.C.,20595
Missouri,shares border with,Washington D.C.,20595
Nevada,shares border with,Washington D.C.,20595
New Jersey,shares border with,Washington D.C.,20595
New Mexico,shares border with,Washington D.C.,20595
