subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,25061
Washington D.C.,twinned administrative body,Maryland,25061
Alabama,shares border with,Washington D.C.,25061
Arizona,shares border with,Washington D.C.,25061
California,shares border with,Washington D.C.,25061
Illinois,shares border with,Washington D.C.,25061
Missouri,shares border with,Washington D.C.,25061
Nevada,shares border with,Washington D.C.,25061
New Jersey,shares border with,Washington D.C.,25061
New York,shares border with,Washington D.C.,25061
Alabama,shares border with,Washington D.C.,25061
Arizona,shares border with,Washington D.C.,25061
California,shares border with,Washington D.C.,25061
Illinois,shares border with,Washington D.C.,25061
Missouri,shares border with,Washington D.C.,25061
Nevada,shares border with,Washington D.C.,25061
New Jersey,shares border with,Washington D.C.,25061
New Mexico,shares border with,Washington D.C.,25061
