text,label,fe_id
The Oklahoma State Bureau of Investigation,ORG,12545
Enid,PERSON,12545
Saturday,DATE,12545
night,TIME,12545
1300,DATE,12545
North Central,ORG,12545
7 p.m.,TIME,12545
Jimmie Wayne Birchfield,PERSON,12545
36,DATE,12545
Birchfield,PERSON,12545
Birchfield,ORG,12545
Birchfield,PERSON,12545
OSBI,ORG,12545
Birchfield,PERSON,12545
three,CARDINAL,12545
The Oklahoma State Bureau of Investigation,ORG,12545
Enid,PERSON,12545
Saturday,DATE,12545
night,TIME,12545
1300,DATE,12545
North Central,ORG,12545
7 p.m.,TIME,12545
Jimmie Wayne Birchfield,PERSON,12545
36,DATE,12545
Birchfield,PERSON,12545
Birchfield,ORG,12545
Birchfield,PERSON,12545
OSBI,ORG,12545
Birchfield,PERSON,12545
three,CARDINAL,12545
