text,label,fe_id
Reginald Linthicum,PERSON,9523
43-year-old,DATE,9523
Inglewood,ORG,9523
"Monday, Oct. 4",DATE,9523
1300,DATE,9523
West 6th Street,DATE,9523
San Pedro,GPE,9523
Los Angeles County,GPE,9523
Linthicum,PERSON,9523
Radio Shack,ORG,9523
Monday morning,TIME,9523
about 9:30 a.m.,TIME,9523
San Pedro,GPE,9523
Inglewood Police Lt,ORG,9523
B. Mylar,PERSON,9523
Inglewood,ORG,9523
Manchester Avenue,FAC,9523
11th Street,FAC,9523
the Radio Shack,ORG,9523
Manchester,GPE,9523
Hillcrest Boulevard,LOC,9523
Mylar,ORG,9523
La Cienega Boulevard,FAC,9523
Manchester Avenue,FAC,9523
405 Freeway,FAC,9523
the 110 Freeway,FAC,9523
San Pedro,GPE,9523
Providence Little Company of Mary Medical Center,ORG,9523
Linthicum,ORG,9523
Mylar,ORG,9523
Linthicum,PERSON,9523
Harbor-UCLA Medical Center,ORG,9523
Richard Winton,PERSON,9523
