subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,27182
Washington D.C.,twinned administrative body,Maryland,27182
Alabama,shares border with,Washington D.C.,27182
Arizona,shares border with,Washington D.C.,27182
California,shares border with,Washington D.C.,27182
Illinois,shares border with,Washington D.C.,27182
Missouri,shares border with,Washington D.C.,27182
Nevada,shares border with,Washington D.C.,27182
New Jersey,shares border with,Washington D.C.,27182
New York,shares border with,Washington D.C.,27182
Alabama,shares border with,Washington D.C.,27182
Arizona,shares border with,Washington D.C.,27182
California,shares border with,Washington D.C.,27182
Illinois,shares border with,Washington D.C.,27182
Missouri,shares border with,Washington D.C.,27182
Nevada,shares border with,Washington D.C.,27182
New Jersey,shares border with,Washington D.C.,27182
New Mexico,shares border with,Washington D.C.,27182
