text,label,fe_id
four,CARDINAL,20643
morning,TIME,20643
Yumi McCulloch,PERSON,20643
Monday,DATE,20643
night,TIME,20643
21-year-old,DATE,20643
Matthew Colton Stover,PERSON,20643
3 a.m.,TIME,20643
Denny,GPE,20643
McCulloch,ORG,20643
Alaska State Troopers,ORG,20643
McCulloch,ORG,20643
second,ORDINAL,20643
Fairbanks Correctional,ORG,20643
the Big Dipper Ice Arena,ORG,20643
McCulloch,ORG,20643
McCulloch,ORG,20643
Fort Wainwright's,FAC,20643
several hours,TIME,20643
McCulloch,ORG,20643
four,CARDINAL,20643
72 hours,TIME,20643
McCulloch,ORG,20643
