text,label,fe_id
BALTIMORE,ORG,13452
Two,CARDINAL,13452
Northeast Baltimore,LOC,13452
Kai Jackson,PERSON,13452
hours,TIME,13452
York Road and Northern Parkway,FAC,13452
early Tuesday morning,TIME,13452
26-year-old,DATE,13452
Devell Johns,ORG,13452
30-year-old,DATE,13452
Terrell Young,ORG,13452
Tavon Brown,PERSON,13452
Johns,PERSON,13452
Young,PERSON,13452
Honda,ORG,13452
Accord,PRODUCT,13452
Jeep,ORG,13452
Jeep,ORG,13452
46-year-old,DATE,13452
Angel Chiwengo,PERSON,13452
Angela Baker,PERSON,13452
Baker,PERSON,13452
Andrew Baker,PERSON,13452
Jeep,ORG,13452
Johns Hopkins Bayview,ORG,13452
Angel,PERSON,13452
Angel,PERSON,13452
Pascaline Chiwengo,PERSON,13452
Baker,PERSON,13452
Chiwengo,PERSON,13452
Chiwengo,PERSON,13452
Nathan Franklin,PERSON,13452
Angel Chiwengo's,PERSON,13452
Baker,PERSON,13452
Chiwengo,PERSON,13452
Jerry Rodriguez,PERSON,13452
Pascaline Chiwengo,ORG,13452
Angel,PERSON,13452
just hours,TIME,13452
Angel,PERSON,13452
Charlen,PERSON,13452
first,ORDINAL,13452
first,ORDINAL,13452
first,ORDINAL,13452
Pascaline Chiwengo,PERSON,13452
Adam Storie,PERSON,13452
Warren Banks II,PERSON,13452
Storie,PERSON,13452
BPD,ORG,13452
2011,DATE,13452
Banks,PERSON,13452
BPD,ORG,13452
2008,DATE,13452
