subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,7944
Washington D.C.,twinned administrative body,Maryland,7944
Alabama,shares border with,Washington D.C.,7944
Arizona,shares border with,Washington D.C.,7944
California,shares border with,Washington D.C.,7944
Illinois,shares border with,Washington D.C.,7944
Missouri,shares border with,Washington D.C.,7944
Nevada,shares border with,Washington D.C.,7944
New Jersey,shares border with,Washington D.C.,7944
New York,shares border with,Washington D.C.,7944
Alabama,shares border with,Washington D.C.,7944
Arizona,shares border with,Washington D.C.,7944
California,shares border with,Washington D.C.,7944
Illinois,shares border with,Washington D.C.,7944
Missouri,shares border with,Washington D.C.,7944
Nevada,shares border with,Washington D.C.,7944
New Jersey,shares border with,Washington D.C.,7944
New Mexico,shares border with,Washington D.C.,7944
