subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,28988
Washington D.C.,twinned administrative body,Maryland,28988
Alabama,shares border with,Washington D.C.,28988
Arizona,shares border with,Washington D.C.,28988
California,shares border with,Washington D.C.,28988
Illinois,shares border with,Washington D.C.,28988
Missouri,shares border with,Washington D.C.,28988
Nevada,shares border with,Washington D.C.,28988
New Jersey,shares border with,Washington D.C.,28988
New York,shares border with,Washington D.C.,28988
Alabama,shares border with,Washington D.C.,28988
Arizona,shares border with,Washington D.C.,28988
California,shares border with,Washington D.C.,28988
Illinois,shares border with,Washington D.C.,28988
Missouri,shares border with,Washington D.C.,28988
Nevada,shares border with,Washington D.C.,28988
New Jersey,shares border with,Washington D.C.,28988
New Mexico,shares border with,Washington D.C.,28988
