text,label,fe_id
8100,CARDINAL,30353
Garland Drive,FAC,30353
June 2,DATE,30353
ARVADA,ORG,30353
Colo.,GPE,30353
The Arvada Police Department,ORG,30353
APD,ORG,30353
8100,CARDINAL,30353
Garland Drive,FAC,30353
Wednesday,DATE,30353
morning,TIME,30353
Kipling Street,FAC,30353
Arvada,GPE,30353
24-year-old,DATE,30353
Eugene Matthews,PERSON,30353
Target,ORG,30353
West 79th Avenue,FAC,30353
Wadsworth Boulevard,FAC,30353
Matthews,ORG,30353
first,ORDINAL,30353
Target,ORG,30353
Matthews,ORG,30353
GMC Yukon,ORG,30353
Arvada,ORG,30353
Matthews,ORG,30353
Yukon,ORG,30353
Pomona Drive,FAC,30353
Avenue,GPE,30353
Garland Drive,PERSON,30353
Matthews,ORG,30353
Matthews,ORG,30353
Matthews,ORG,30353
Matthews,ORG,30353
APD,ORG,30353
Matthews,NORP,30353
9NEWS,CARDINAL,30353
daily,DATE,30353
Next,ORG,30353
Broncos,PRODUCT,30353
9NEWS,CARDINAL,30353
daily,DATE,30353
9NEWS,CARDINAL,30353
daily,DATE,30353
Next,ORG,30353
Broncos,PRODUCT,30353
9NEWS,CARDINAL,30353
APP,ORG,30353
iTunes,NORP,30353
ROKU,ORG,30353
KUSA,GPE,30353
Apple TV,ORG,30353
Fire TV,ORG,30353
9news,CARDINAL,30353
Fire TV,ORG,30353
Amazon,ORG,30353
