subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,31230
Washington D.C.,twinned administrative body,Maryland,31230
Alabama,shares border with,Washington D.C.,31230
Arizona,shares border with,Washington D.C.,31230
California,shares border with,Washington D.C.,31230
Illinois,shares border with,Washington D.C.,31230
Missouri,shares border with,Washington D.C.,31230
Nevada,shares border with,Washington D.C.,31230
New Jersey,shares border with,Washington D.C.,31230
New York,shares border with,Washington D.C.,31230
Alabama,shares border with,Washington D.C.,31230
Arizona,shares border with,Washington D.C.,31230
California,shares border with,Washington D.C.,31230
Illinois,shares border with,Washington D.C.,31230
Missouri,shares border with,Washington D.C.,31230
Nevada,shares border with,Washington D.C.,31230
New Jersey,shares border with,Washington D.C.,31230
New Mexico,shares border with,Washington D.C.,31230
