subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,17967
Washington D.C.,twinned administrative body,Maryland,17967
Alabama,shares border with,Washington D.C.,17967
Arizona,shares border with,Washington D.C.,17967
California,shares border with,Washington D.C.,17967
Illinois,shares border with,Washington D.C.,17967
Missouri,shares border with,Washington D.C.,17967
Nevada,shares border with,Washington D.C.,17967
New Jersey,shares border with,Washington D.C.,17967
New York,shares border with,Washington D.C.,17967
Alabama,shares border with,Washington D.C.,17967
Arizona,shares border with,Washington D.C.,17967
California,shares border with,Washington D.C.,17967
Illinois,shares border with,Washington D.C.,17967
Missouri,shares border with,Washington D.C.,17967
Nevada,shares border with,Washington D.C.,17967
New Jersey,shares border with,Washington D.C.,17967
New Mexico,shares border with,Washington D.C.,17967
