subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,14925
Washington D.C.,twinned administrative body,Maryland,14925
Alabama,shares border with,Washington D.C.,14925
Arizona,shares border with,Washington D.C.,14925
California,shares border with,Washington D.C.,14925
Illinois,shares border with,Washington D.C.,14925
Missouri,shares border with,Washington D.C.,14925
Nevada,shares border with,Washington D.C.,14925
New Jersey,shares border with,Washington D.C.,14925
New York,shares border with,Washington D.C.,14925
Alabama,shares border with,Washington D.C.,14925
Arizona,shares border with,Washington D.C.,14925
California,shares border with,Washington D.C.,14925
Illinois,shares border with,Washington D.C.,14925
Missouri,shares border with,Washington D.C.,14925
Nevada,shares border with,Washington D.C.,14925
New Jersey,shares border with,Washington D.C.,14925
New Mexico,shares border with,Washington D.C.,14925
