text,label,fe_id
Ted Soqui,PERSON,189
911,CARDINAL,189
Los angeles,GPE,189
Lynwood,GPE,189
the Sheriff’s Department,ORG,189
Jose Cortez Amaya,PERSON,189
23-year-old,DATE,189
Alfonso Ruben Renteria Gonzalez,ORG,189
Amaya,ORG,189
911,CARDINAL,189
Gonzalez,PERSON,189
Gonzalez,PERSON,189
Gonzalez,PERSON,189
Thunderbird,PRODUCT,189
around 1:40 p.m.,TIME,189
April 26,DATE,189
Lucy’s Drive-In,FAC,189
Lynwood,GPE,189
the Sheriff’s Department,ORG,189
6,CARDINAL,189
Gonzalez,PERSON,189
5,CARDINAL,189
Amaya,ORG,189
39-year-old,DATE,189
Amaya,PERSON,189
Gonzalez,PERSON,189
911,CARDINAL,189
Weekly,DATE,189
two,CARDINAL,189
first,ORDINAL,189
Spanish,LANGUAGE,189
Officer Amaya,GPE,189
Kevin Lowe,PERSON,189
the Sheriff’s Department Homicide Division,ORG,189
911,CARDINAL,189
Amaya,ORG,189
Lowe,ORG,189
Amaya,GPE,189
911,CARDINAL,189
the Sheriff’s Department,ORG,189
911,CARDINAL,189
Gonzalez,PERSON,189
Amaya,GPE,189
Gonzalez,PERSON,189
about an hour,TIME,189
St. Francis Medical Center,ORG,189
Lowe,PERSON,189
that day,DATE,189
911,CARDINAL,189
Lowe,ORG,189
two,CARDINAL,189
California Highway Patrol,FAC,189
Lowe,ORG,189
Ray Peavy,PERSON,189
first,ORDINAL,189
CHP,ORG,189
911,CARDINAL,189
Peavy,ORG,189
911,CARDINAL,189
the California Highway Patrol,ORG,189
911,CARDINAL,189
CHP,ORG,189
Peavy,ORG,189
911,CARDINAL,189
Amaya,GPE,189
Gonzalez,PERSON,189
the Sheriff’s Department,ORG,189
911,CARDINAL,189
Tom Beck,PERSON,189
almost 20 years,DATE,189
the Mexican Consulate,ORG,189
Gonzalez,PERSON,189
Gonzalez,PERSON,189
Gonzalez,PERSON,189
Amaya,GPE,189
Fernando Herrera,PERSON,189
Amaya,ORG,189
Gonzalez,PERSON,189
One,CARDINAL,189
LAPD,ORG,189
Lynwood,GPE,189
The Sheriff’s Homicide Division,ORG,189
the Los Angeles County District,GPE,189
The Mexican Consulate,ORG,189
Marco Lopez,PERSON,189
Los Angeles,GPE,189
Sayre & Chavez,ORG,189
first,ORDINAL,189
Gonzalez,PERSON,189
Mexico,GPE,189
Gonzalez,PERSON,189
two years ago,DATE,189
Mexico,GPE,189
Pico-Union,GPE,189
Maple Street,FAC,189
’s Fashion District,WORK_OF_ART,189
LA Weekly,ORG,189
