subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,8190
Washington D.C.,twinned administrative body,Maryland,8190
Alabama,shares border with,Washington D.C.,8190
Arizona,shares border with,Washington D.C.,8190
California,shares border with,Washington D.C.,8190
Illinois,shares border with,Washington D.C.,8190
Missouri,shares border with,Washington D.C.,8190
Nevada,shares border with,Washington D.C.,8190
New Jersey,shares border with,Washington D.C.,8190
New York,shares border with,Washington D.C.,8190
Alabama,shares border with,Washington D.C.,8190
Arizona,shares border with,Washington D.C.,8190
California,shares border with,Washington D.C.,8190
Illinois,shares border with,Washington D.C.,8190
Missouri,shares border with,Washington D.C.,8190
Nevada,shares border with,Washington D.C.,8190
New Jersey,shares border with,Washington D.C.,8190
New Mexico,shares border with,Washington D.C.,8190
