subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,15115
Washington D.C.,twinned administrative body,Maryland,15115
Alabama,shares border with,Washington D.C.,15115
Arizona,shares border with,Washington D.C.,15115
California,shares border with,Washington D.C.,15115
Illinois,shares border with,Washington D.C.,15115
Missouri,shares border with,Washington D.C.,15115
Nevada,shares border with,Washington D.C.,15115
New Jersey,shares border with,Washington D.C.,15115
New York,shares border with,Washington D.C.,15115
Alabama,shares border with,Washington D.C.,15115
Arizona,shares border with,Washington D.C.,15115
California,shares border with,Washington D.C.,15115
Illinois,shares border with,Washington D.C.,15115
Missouri,shares border with,Washington D.C.,15115
Nevada,shares border with,Washington D.C.,15115
New Jersey,shares border with,Washington D.C.,15115
New Mexico,shares border with,Washington D.C.,15115
