subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,14922
Washington D.C.,twinned administrative body,Maryland,14922
Alabama,shares border with,Washington D.C.,14922
Arizona,shares border with,Washington D.C.,14922
California,shares border with,Washington D.C.,14922
Illinois,shares border with,Washington D.C.,14922
Missouri,shares border with,Washington D.C.,14922
Nevada,shares border with,Washington D.C.,14922
New Jersey,shares border with,Washington D.C.,14922
New York,shares border with,Washington D.C.,14922
Alabama,shares border with,Washington D.C.,14922
Arizona,shares border with,Washington D.C.,14922
California,shares border with,Washington D.C.,14922
Illinois,shares border with,Washington D.C.,14922
Missouri,shares border with,Washington D.C.,14922
Nevada,shares border with,Washington D.C.,14922
New Jersey,shares border with,Washington D.C.,14922
New Mexico,shares border with,Washington D.C.,14922
