subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,19849
Washington D.C.,twinned administrative body,Maryland,19849
Alabama,shares border with,Washington D.C.,19849
Arizona,shares border with,Washington D.C.,19849
California,shares border with,Washington D.C.,19849
Illinois,shares border with,Washington D.C.,19849
Missouri,shares border with,Washington D.C.,19849
Nevada,shares border with,Washington D.C.,19849
New Jersey,shares border with,Washington D.C.,19849
New York,shares border with,Washington D.C.,19849
Alabama,shares border with,Washington D.C.,19849
Arizona,shares border with,Washington D.C.,19849
California,shares border with,Washington D.C.,19849
Illinois,shares border with,Washington D.C.,19849
Missouri,shares border with,Washington D.C.,19849
Nevada,shares border with,Washington D.C.,19849
New Jersey,shares border with,Washington D.C.,19849
New Mexico,shares border with,Washington D.C.,19849
