text,label,fe_id
Prince George's County,GPE,12938
London Lane,PERSON,12938
Md.,GPE,12938
197,CARDINAL,12938
Bowie,GPE,12938
around 3 a.m.,TIME,12938
Wednesday,DATE,12938
32-year-old,DATE,12938
James Dejay,PERSON,12938
Upper Marlboro,ORG,12938
Cpl,PERSON,12938
Michael Mogavero,PERSON,12938
nine-year,DATE,12938
the Special Operations Division,ORG,12938
The Collision Analysis and Reconstruction Unit,ORG,12938
the Prince George’s County Police Department,ORG,12938
Valez,PERSON,12938
Route 197,FAC,12938
about two hours,TIME,12938
