subject,predicate,object,fe_id
Evans,located in the administrative territorial entity,Weld County,1864
Gill,located in the administrative territorial entity,Weld County,1864
Roggen,located in the administrative territorial entity,Weld County,1864
Keenesburg,located in the administrative territorial entity,Weld County,1864
Hudson,located in the administrative territorial entity,Weld County,1864
Dearfield,located in the administrative territorial entity,Weld County,1864
Evans,located in the administrative territorial entity,Weld County,1864
Gill,located in the administrative territorial entity,Weld County,1864
Roggen,located in the administrative territorial entity,Weld County,1864
Keenesburg,located in the administrative territorial entity,Weld County,1864
Hudson,located in the administrative territorial entity,Weld County,1864
Dearfield,located in the administrative territorial entity,Weld County,1864
Fort Lupton,located in the administrative territorial entity,Weld County,1864
Gill,located in the administrative territorial entity,Weld County,1864
Roggen,located in the administrative territorial entity,Weld County,1864
Keenesburg,located in the administrative territorial entity,Weld County,1864
Hudson,located in the administrative territorial entity,Weld County,1864
Dearfield,located in the administrative territorial entity,Weld County,1864
