subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,15003
Washington D.C.,twinned administrative body,Maryland,15003
Alabama,shares border with,Washington D.C.,15003
Arizona,shares border with,Washington D.C.,15003
California,shares border with,Washington D.C.,15003
Illinois,shares border with,Washington D.C.,15003
Missouri,shares border with,Washington D.C.,15003
Nevada,shares border with,Washington D.C.,15003
New Jersey,shares border with,Washington D.C.,15003
New York,shares border with,Washington D.C.,15003
Alabama,shares border with,Washington D.C.,15003
Arizona,shares border with,Washington D.C.,15003
California,shares border with,Washington D.C.,15003
Illinois,shares border with,Washington D.C.,15003
Missouri,shares border with,Washington D.C.,15003
Nevada,shares border with,Washington D.C.,15003
New Jersey,shares border with,Washington D.C.,15003
New Mexico,shares border with,Washington D.C.,15003
