text,label,fe_id
2,CARDINAL,19067
"November 30, 2008",DATE,19067
Craig Peters,PERSON,19067
Christmas,DATE,19067
two,CARDINAL,19067
Saturday,DATE,19067
afternoon,TIME,19067
Cherokee County,GPE,19067
Pleasant School Road,ORG,19067
James Ellie Brogden,PERSON,19067
Brogden,PERSON,19067
one,CARDINAL,19067
two,CARDINAL,19067
Gaffney,PERSON,19067
hours earlier,TIME,19067
about 10 tons,QUANTITY,19067
Cherokee Speedway,FAC,19067
Brogden,PERSON,19067
Aaron Christopher Saunders,PERSON,19067
2005,DATE,19067
Toyota,ORG,19067
Brogden,GPE,19067
Cherokee County Coroner Dennis Fowler,PERSON,19067
Cherokee County,GPE,19067
Saunders,ORG,19067
Fowler,PERSON,19067
Brogden,GPE,19067
67,DATE,19067
124,CARDINAL,19067
Saunders,ORG,19067
28,DATE,19067
1252,CARDINAL,19067
Ellis Ferry Road,WORK_OF_ART,19067
6:51 a.m.,TIME,19067
Spartanburg Regional Medical Center,ORG,19067
Saunders,ORG,19067
One,CARDINAL,19067
Fowler,PERSON,19067
State Law Enforcement Division,ORG,19067
Jennifer Timmons,PERSON,19067
Cherokee County,GPE,19067
about 4 a.m.,TIME,19067
Saturday,DATE,19067
several days,DATE,19067
weeks,DATE,19067
Gaffney,PERSON,19067
Dick Norris,PERSON,19067
early Saturday,DATE,19067
Norris,GPE,19067
71,DATE,19067
Brogden,PERSON,19067
more than half,CARDINAL,19067
Norris,ORG,19067
the Salvation Army,ORG,19067
Brogden,PERSON,19067
the Salvation Army,ORG,19067
Brogden,PERSON,19067
44-year,DATE,19067
Elma Grey Brogden,PERSON,19067
Tennessee,GPE,19067
Florida,GPE,19067
Texas,GPE,19067
Brogden,PERSON,19067
Charlotte,GPE,19067
N.C.,GPE,19067
Norris,GPE,19067
Brogden,GPE,19067
Norris,ORG,19067
Norris,ORG,19067
Brogden,PERSON,19067
Gaffney,PERSON,19067
Brogdens,PERSON,19067
the Pleasant School Road,ORG,19067
Todd Morgan,PERSON,19067
Pam Morgan,PERSON,19067
the weekend,DATE,19067
Fowler,PERSON,19067
Brogden,GPE,19067
Saunders,ORG,19067
about 2:30 a.m.,TIME,19067
Fowler,PERSON,19067
Saunders,ORG,19067
153,CARDINAL,19067
Speedway Road,FAC,19067
Lemuel's Road,ORG,19067
about two miles,QUANTITY,19067
Fowler,PERSON,19067
Saunders,ORG,19067
Concord Road,FAC,19067
Pleasant School Road,ORG,19067
Saunders,ORG,19067
two,CARDINAL,19067
Dean Christopher,PERSON,19067
Pleasant School,ORG,19067
Concord,GPE,19067
3 a.m.,TIME,19067
Christopher,PERSON,19067
Christopher,PERSON,19067
Pleasant School Road,ORG,19067
Christopher,PERSON,19067
California,GPE,19067
Saturday,DATE,19067
first,ORDINAL,19067
Saunders,ORG,19067
this year,DATE,19067
The Gaffney Ledger,WORK_OF_ART,19067
March,DATE,19067
Saunders,ORG,19067
marijuana,PERSON,19067
Saunders,PERSON,19067
1986,DATE,19067
Honda,ORG,19067
six,CARDINAL,19067
Saunders,ORG,19067
Concord Road,FAC,19067
Taser,ORG,19067
three,CARDINAL,19067
US,GPE,19067
South Carolina,GPE,19067
Lines,ORG,19067
EggsAckley,ORG,19067
Tijeras_Slim,PERSON,19067
California,GPE,19067
Saunders,ORG,19067
3,CARDINAL,19067
Vaquero,PERSON,19067
Robert A. Heinlein,PERSON,19067
4,CARDINAL,19067
onby,CARDINAL,19067
the next four years,DATE,19067
6,CARDINAL,19067
onby,CARDINAL,19067
Monarchists,NORP,19067
Palin,PERSON,19067
2012,DATE,19067
Barack Obama,PERSON,19067
first,ORDINAL,19067
Congress,ORG,19067
Sunday,DATE,19067
afternoon,TIME,19067
9,CARDINAL,19067
onby,CARDINAL,19067
Ministrix of ye Chasse,WORK_OF_ART,19067
Saunders,ORG,19067
Morgana,PERSON,19067
Morgana,PERSON,19067
2005,DATE,19067
Toyota,ORG,19067
Brogden,GPE,19067
Morgana,PERSON,19067
1,CARDINAL,19067
Toyota,ORG,19067
1,MONEY,19067
2,CARDINAL,19067
Morgana,PERSON,19067
Morgana,PERSON,19067
several years ago,DATE,19067
the middle of the,DATE,19067
Beat,PERSON,19067
Suffice,ORG,19067
Free Republic,GPE,19067
Free Republic,GPE,19067
FreeRepublic,ORG,19067
LLC,ORG,19067
PO BOX 9771,ORG,19067
FRESNO,ORG,19067
CA 93794,ORG,19067
2000-2008,DATE,19067
John Robinson,PERSON,19067
