subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,18719
Washington D.C.,twinned administrative body,Maryland,18719
Alabama,shares border with,Washington D.C.,18719
Arizona,shares border with,Washington D.C.,18719
California,shares border with,Washington D.C.,18719
Illinois,shares border with,Washington D.C.,18719
Missouri,shares border with,Washington D.C.,18719
Nevada,shares border with,Washington D.C.,18719
New Jersey,shares border with,Washington D.C.,18719
New York,shares border with,Washington D.C.,18719
Alabama,shares border with,Washington D.C.,18719
Arizona,shares border with,Washington D.C.,18719
California,shares border with,Washington D.C.,18719
Illinois,shares border with,Washington D.C.,18719
Missouri,shares border with,Washington D.C.,18719
Nevada,shares border with,Washington D.C.,18719
New Jersey,shares border with,Washington D.C.,18719
New Mexico,shares border with,Washington D.C.,18719
