text,label,fe_id
WEST MEMPHIS,GPE,25453
Six,CARDINAL,25453
West Memphis,GPE,25453
two,CARDINAL,25453
earlier this year,DATE,25453
Friday,DATE,25453
morning,TIME,25453
West Memphis,ORG,25453
Police Department,ORG,25453
22-year-old,DATE,25453
Megan Rivera,ORG,25453
30-year-old,DATE,25453
De’Angelo Brown,PERSON,25453
Lancaster,GPE,25453
South Carolina,GPE,25453
Jan. 16,DATE,25453
Robert Langston,PERSON,25453
Langston,PERSON,25453
Rivera,GPE,25453
six,CARDINAL,25453
WMPD,ORG,25453
Brown,PERSON,25453
Rivera,GPE,25453
Megan Rivera,ORG,25453
DeAngelo Brown,PERSON,25453
5,CARDINAL,25453
Friday,DATE,25453
four,CARDINAL,25453
one,CARDINAL,25453
Brown,PERSON,25453
Rivera,GPE,25453
72-year-old,DATE,25453
South Carolina,GPE,25453
Brown,PERSON,25453
Rivera,GPE,25453
Rivera,GPE,25453
Five,CARDINAL,25453
Arkansas State,ORG,25453
ASP,ORG,25453
Langston,PERSON,25453
a few days,DATE,25453
2019,DATE,25453
