subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,28166
Washington D.C.,twinned administrative body,Maryland,28166
Alabama,shares border with,Washington D.C.,28166
Arizona,shares border with,Washington D.C.,28166
California,shares border with,Washington D.C.,28166
Illinois,shares border with,Washington D.C.,28166
Missouri,shares border with,Washington D.C.,28166
Nevada,shares border with,Washington D.C.,28166
New Jersey,shares border with,Washington D.C.,28166
New York,shares border with,Washington D.C.,28166
Alabama,shares border with,Washington D.C.,28166
Arizona,shares border with,Washington D.C.,28166
California,shares border with,Washington D.C.,28166
Illinois,shares border with,Washington D.C.,28166
Missouri,shares border with,Washington D.C.,28166
Nevada,shares border with,Washington D.C.,28166
New Jersey,shares border with,Washington D.C.,28166
New Mexico,shares border with,Washington D.C.,28166
