subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,23161
Washington D.C.,twinned administrative body,Maryland,23161
Alabama,shares border with,Washington D.C.,23161
Arizona,shares border with,Washington D.C.,23161
California,shares border with,Washington D.C.,23161
Illinois,shares border with,Washington D.C.,23161
Missouri,shares border with,Washington D.C.,23161
Nevada,shares border with,Washington D.C.,23161
New Jersey,shares border with,Washington D.C.,23161
New York,shares border with,Washington D.C.,23161
Alabama,shares border with,Washington D.C.,23161
Arizona,shares border with,Washington D.C.,23161
California,shares border with,Washington D.C.,23161
Illinois,shares border with,Washington D.C.,23161
Missouri,shares border with,Washington D.C.,23161
Nevada,shares border with,Washington D.C.,23161
New Jersey,shares border with,Washington D.C.,23161
New Mexico,shares border with,Washington D.C.,23161
