subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,23735
Washington D.C.,twinned administrative body,Maryland,23735
Alabama,shares border with,Washington D.C.,23735
Arizona,shares border with,Washington D.C.,23735
California,shares border with,Washington D.C.,23735
Illinois,shares border with,Washington D.C.,23735
Missouri,shares border with,Washington D.C.,23735
Nevada,shares border with,Washington D.C.,23735
New Jersey,shares border with,Washington D.C.,23735
New York,shares border with,Washington D.C.,23735
Alabama,shares border with,Washington D.C.,23735
Arizona,shares border with,Washington D.C.,23735
California,shares border with,Washington D.C.,23735
Illinois,shares border with,Washington D.C.,23735
Missouri,shares border with,Washington D.C.,23735
Nevada,shares border with,Washington D.C.,23735
New Jersey,shares border with,Washington D.C.,23735
New Mexico,shares border with,Washington D.C.,23735
