subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,13357
Washington D.C.,twinned administrative body,Maryland,13357
Alabama,shares border with,Washington D.C.,13357
Arizona,shares border with,Washington D.C.,13357
California,shares border with,Washington D.C.,13357
Illinois,shares border with,Washington D.C.,13357
Missouri,shares border with,Washington D.C.,13357
Nevada,shares border with,Washington D.C.,13357
New Jersey,shares border with,Washington D.C.,13357
New York,shares border with,Washington D.C.,13357
Alabama,shares border with,Washington D.C.,13357
Arizona,shares border with,Washington D.C.,13357
California,shares border with,Washington D.C.,13357
Illinois,shares border with,Washington D.C.,13357
Missouri,shares border with,Washington D.C.,13357
Nevada,shares border with,Washington D.C.,13357
New Jersey,shares border with,Washington D.C.,13357
New Mexico,shares border with,Washington D.C.,13357
