subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,23146
Washington D.C.,twinned administrative body,Maryland,23146
Alabama,shares border with,Washington D.C.,23146
Arizona,shares border with,Washington D.C.,23146
California,shares border with,Washington D.C.,23146
Illinois,shares border with,Washington D.C.,23146
Missouri,shares border with,Washington D.C.,23146
Nevada,shares border with,Washington D.C.,23146
New Jersey,shares border with,Washington D.C.,23146
New York,shares border with,Washington D.C.,23146
Alabama,shares border with,Washington D.C.,23146
Arizona,shares border with,Washington D.C.,23146
California,shares border with,Washington D.C.,23146
Illinois,shares border with,Washington D.C.,23146
Missouri,shares border with,Washington D.C.,23146
Nevada,shares border with,Washington D.C.,23146
New Jersey,shares border with,Washington D.C.,23146
New Mexico,shares border with,Washington D.C.,23146
