subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,11241
Washington D.C.,twinned administrative body,Maryland,11241
Alabama,shares border with,Washington D.C.,11241
Arizona,shares border with,Washington D.C.,11241
California,shares border with,Washington D.C.,11241
Illinois,shares border with,Washington D.C.,11241
Missouri,shares border with,Washington D.C.,11241
Nevada,shares border with,Washington D.C.,11241
New Jersey,shares border with,Washington D.C.,11241
New York,shares border with,Washington D.C.,11241
Alabama,shares border with,Washington D.C.,11241
Arizona,shares border with,Washington D.C.,11241
California,shares border with,Washington D.C.,11241
Illinois,shares border with,Washington D.C.,11241
Missouri,shares border with,Washington D.C.,11241
Nevada,shares border with,Washington D.C.,11241
New Jersey,shares border with,Washington D.C.,11241
New Mexico,shares border with,Washington D.C.,11241
