subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,24061
Washington D.C.,twinned administrative body,Maryland,24061
Alabama,shares border with,Washington D.C.,24061
Arizona,shares border with,Washington D.C.,24061
California,shares border with,Washington D.C.,24061
Illinois,shares border with,Washington D.C.,24061
Missouri,shares border with,Washington D.C.,24061
Nevada,shares border with,Washington D.C.,24061
New Jersey,shares border with,Washington D.C.,24061
New York,shares border with,Washington D.C.,24061
Alabama,shares border with,Washington D.C.,24061
Arizona,shares border with,Washington D.C.,24061
California,shares border with,Washington D.C.,24061
Illinois,shares border with,Washington D.C.,24061
Missouri,shares border with,Washington D.C.,24061
Nevada,shares border with,Washington D.C.,24061
New Jersey,shares border with,Washington D.C.,24061
New Mexico,shares border with,Washington D.C.,24061
