subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,23413
Washington D.C.,twinned administrative body,Maryland,23413
Alabama,shares border with,Washington D.C.,23413
Arizona,shares border with,Washington D.C.,23413
California,shares border with,Washington D.C.,23413
Illinois,shares border with,Washington D.C.,23413
Missouri,shares border with,Washington D.C.,23413
Nevada,shares border with,Washington D.C.,23413
New Jersey,shares border with,Washington D.C.,23413
New York,shares border with,Washington D.C.,23413
Alabama,shares border with,Washington D.C.,23413
Arizona,shares border with,Washington D.C.,23413
California,shares border with,Washington D.C.,23413
Illinois,shares border with,Washington D.C.,23413
Missouri,shares border with,Washington D.C.,23413
Nevada,shares border with,Washington D.C.,23413
New Jersey,shares border with,Washington D.C.,23413
New Mexico,shares border with,Washington D.C.,23413
