text,label,fe_id
ONE,CARDINAL,22319
US,GPE,22319
MARCELLA,PERSON,22319
TWO,CARDINAL,22319
HERMOTHER ERICA WALLACE,PERSON,22319
17-YEAR-OLD,DATE,22319
WISH,PERSON,22319
HERETHAT,PERSON,22319
THE RECENT DEVELOPMENT,GPE,22319
BIT.ANrtD AGAIN,PERSON,22319
TWO,CARDINAL,22319
MARCELLA LUCAS TOLD,GPE,22319
UC DAVISMEDICAL CENTER IN,ORG,22319
JOHN,ORG,22319
MIKE,PERSON,22319
Advertisement Suspect,PERSON,22319
Sacramento,GPE,22319
Eric Arnold,PERSON,22319
Share Copy Link Copy,PERSON,22319
two,CARDINAL,22319
Sacramento,GPE,22319
Sacramento,GPE,22319
Ohio,GPE,22319
Eric Arnold,PERSON,22319
41,DATE,22319
Sacramento,GPE,22319
Thursday,DATE,22319
Sacramento,GPE,22319
two,CARDINAL,22319
seasoned--,ORG,22319
27-year,DATE,22319
12-year,DATE,22319
Bryce Heinlein,PERSON,22319
27th Avenue,FAC,22319
Franklin Boulevard,PERSON,22319
Sacramento,GPE,22319
Arnold,PERSON,22319
two,CARDINAL,22319
Sacramento,GPE,22319
POD,ORG,22319
the day,DATE,22319
Arnold,PERSON,22319
45-year-old,DATE,22319
Erica Wallace,PERSON,22319
17-year-old,DATE,22319
Kiara Lasalle,PERSON,22319
first,ORDINAL,22319
Arnold,PERSON,22319
Franklin County,GPE,22319
Ohio,GPE,22319
first,ORDINAL,22319
2003,DATE,22319
second,ORDINAL,22319
2004,DATE,22319
Arnold,PERSON,22319
2004,DATE,22319
Arnold,PERSON,22319
ARNOLD'S VICTIMS?Arnold,PERSON,22319
Wallace,PERSON,22319
1400,CARDINAL,22319
Janrick Avenue,FAC,22319
Wallace,PERSON,22319
Marcella Lucas,PERSON,22319
KCRA,ORG,22319
two,CARDINAL,22319
Friday,DATE,22319
night,TIME,22319
Arnold,PERSON,22319
Lucas,GPE,22319
Arnold,PERSON,22319
Lucas,GPE,22319
the UC Davis Medical Center,ORG,22319
Kiara Lasalle,PERSON,22319
John F. Kennedy High School,PERSON,22319
Sacramento City College,ORG,22319
Lucas,GPE,22319
KCRA,ORG,22319
