text,label,fe_id
Saturday,DATE,29906
Oklahoma County,GPE,29906
Oklahoma,GPE,29906
Oklahoma City,GPE,29906
Aaron Brilbeck,PERSON,29906
the Oklahoma County Sheriff's Office,ORG,29906
Brilbeck,PERSON,29906
Greg Williams,PERSON,29906
10th,ORDINAL,29906
the Oklahoma County Detention Center,GPE,29906
about 4:22 p.m.,TIME,29906
less than two hours,TIME,29906
Brilbeck,PERSON,29906
Sheriff Tommie Johnson III,PERSON,29906
Williams,PERSON,29906
37,CARDINAL,29906
Williams,PERSON,29906
Brilbeck,PERSON,29906
Williams,PERSON,29906
at least,CARDINAL,29906
Oklahoma City,GPE,29906
Johnson,PERSON,29906
Williams,PERSON,29906
