text,label,fe_id
four,CARDINAL,28658
LINCOLN COUNTY,GPE,28658
N.C.,GPE,28658
Two,CARDINAL,28658
Lincoln County,GPE,28658
Monday,DATE,28658
the Lincoln County Sheriff's Office,ORG,28658
Gaston Webb's,PERSON,28658
Chapel Road,ORG,28658
a little after noon,TIME,28658
Monday,DATE,28658
four,CARDINAL,28658
Greg Seibert,PERSON,28658
Seibert,PERSON,28658
31-year-old,DATE,28658
Corey Lee Cutler,PERSON,28658
One,CARDINAL,28658
Atrium Health's,ORG,28658
Carolina Medical Center,ORG,28658
Charlotte,GPE,28658
Atrium Health Lincoln,ORG,28658
W. Spurling,PERSON,28658
Atrium Health-Main,ORG,28658
Charlotte,GPE,28658
Monday night,TIME,28658
B. Alexander,PERSON,28658
Atrium Health-Lincoln,ORG,28658
SBI,ORG,28658
Gaston Webbs Chapel Road,ORG,28658
CMC Main,ORG,28658
Charlotte,GPE,28658
Brandon Goldner,PERSON,28658
"August 24, 2020",DATE,28658
