subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,10663
Washington D.C.,twinned administrative body,Maryland,10663
Alabama,shares border with,Washington D.C.,10663
Arizona,shares border with,Washington D.C.,10663
California,shares border with,Washington D.C.,10663
Illinois,shares border with,Washington D.C.,10663
Missouri,shares border with,Washington D.C.,10663
Nevada,shares border with,Washington D.C.,10663
New Jersey,shares border with,Washington D.C.,10663
New York,shares border with,Washington D.C.,10663
Alabama,shares border with,Washington D.C.,10663
Arizona,shares border with,Washington D.C.,10663
California,shares border with,Washington D.C.,10663
Illinois,shares border with,Washington D.C.,10663
Missouri,shares border with,Washington D.C.,10663
Nevada,shares border with,Washington D.C.,10663
New Jersey,shares border with,Washington D.C.,10663
New Mexico,shares border with,Washington D.C.,10663
