subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,30975
Washington D.C.,twinned administrative body,Maryland,30975
Alabama,shares border with,Washington D.C.,30975
Arizona,shares border with,Washington D.C.,30975
California,shares border with,Washington D.C.,30975
Illinois,shares border with,Washington D.C.,30975
Missouri,shares border with,Washington D.C.,30975
Nevada,shares border with,Washington D.C.,30975
New Jersey,shares border with,Washington D.C.,30975
New York,shares border with,Washington D.C.,30975
Alabama,shares border with,Washington D.C.,30975
Arizona,shares border with,Washington D.C.,30975
California,shares border with,Washington D.C.,30975
Illinois,shares border with,Washington D.C.,30975
Missouri,shares border with,Washington D.C.,30975
Nevada,shares border with,Washington D.C.,30975
New Jersey,shares border with,Washington D.C.,30975
New Mexico,shares border with,Washington D.C.,30975
