subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,19640
Washington D.C.,twinned administrative body,Maryland,19640
Alabama,shares border with,Washington D.C.,19640
Arizona,shares border with,Washington D.C.,19640
California,shares border with,Washington D.C.,19640
Illinois,shares border with,Washington D.C.,19640
Missouri,shares border with,Washington D.C.,19640
Nevada,shares border with,Washington D.C.,19640
New Jersey,shares border with,Washington D.C.,19640
New York,shares border with,Washington D.C.,19640
Alabama,shares border with,Washington D.C.,19640
Arizona,shares border with,Washington D.C.,19640
California,shares border with,Washington D.C.,19640
Illinois,shares border with,Washington D.C.,19640
Missouri,shares border with,Washington D.C.,19640
Nevada,shares border with,Washington D.C.,19640
New Jersey,shares border with,Washington D.C.,19640
New Mexico,shares border with,Washington D.C.,19640
