text,label,fe_id
Virginia State,ORG,31209
Va.,GPE,31209
Virginia State Police,ORG,31209
two,CARDINAL,31209
5 p.m.,TIME,31209
November 6,DATE,31209
Newport News Police,ORG,31209
2007,DATE,31209
Chevrolet,ORG,31209
Hogan Drive,ORG,31209
Jefferson Avenue,FAC,31209
Newport News Police,ORG,31209
Virginia State,ORG,31209
I-664,GPE,31209
Suffolk,GPE,31209
Suffolk,PERSON,31209
I-664,FAC,31209
Route 58,FAC,31209
State,ORG,31209
47-year-old,DATE,31209
Jo Grey,PERSON,31209
Newport News,ORG,31209
Route 58,FAC,31209
I-664,FAC,31209
45-year-old,DATE,31209
Brian Michael Price,PERSON,31209
Chesapeake,GPE,31209
Virginia State,ORG,31209
