subject,predicate,object,fe_id
Indiana,contains administrative territorial entity,Newton,15960
Indiana,contains administrative territorial entity,Benton,15960
Indiana,contains administrative territorial entity,White,15960
Indiana,contains administrative territorial entity,Tippecanoe,15960
Newton,located in the administrative territorial entity,Indiana,15960
Benton,located in the administrative territorial entity,Indiana,15960
White,located in the administrative territorial entity,Indiana,15960
Tippecanoe,located in the administrative territorial entity,Indiana,15960
Battle Ground,located in the administrative territorial entity,Tippecanoe,15960
Battle Ground,located in the administrative territorial entity,White,15960
