subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,18606
Washington D.C.,twinned administrative body,Maryland,18606
Alabama,shares border with,Washington D.C.,18606
Arizona,shares border with,Washington D.C.,18606
California,shares border with,Washington D.C.,18606
Illinois,shares border with,Washington D.C.,18606
Missouri,shares border with,Washington D.C.,18606
Nevada,shares border with,Washington D.C.,18606
New Jersey,shares border with,Washington D.C.,18606
New York,shares border with,Washington D.C.,18606
Alabama,shares border with,Washington D.C.,18606
Arizona,shares border with,Washington D.C.,18606
California,shares border with,Washington D.C.,18606
Illinois,shares border with,Washington D.C.,18606
Missouri,shares border with,Washington D.C.,18606
Nevada,shares border with,Washington D.C.,18606
New Jersey,shares border with,Washington D.C.,18606
New Mexico,shares border with,Washington D.C.,18606
