text,label,fe_id
ATF,ORG,10912
New Year’s Eve,EVENT,10912
Monday,DATE,10912
Nassau County,GPE,10912
Kathleen Rice,PERSON,10912
11,CARDINAL,10912
two,CARDINAL,10912
New York City,GPE,10912
two,CARDINAL,10912
Seaford,GPE,10912
about 25 miles,QUANTITY,10912
New York City,GPE,10912
"Bureau of Alcohol, Tobacco, Firearms and Explosives",ORG,10912
John Capano,PERSON,10912
Christopher Geraghty,PERSON,10912
Capano,PERSON,10912
Capano,ORG,10912
Joseph Arbia,PERSON,10912
James McGoey,PERSON,10912
Rice,PERSON,10912
Geraghty,PERSON,10912
McGoey,ORG,10912
Geraghty,PRODUCT,10912
John Capano,PERSON,10912
Capano,PERSON,10912
Geraghty,PERSON,10912
Capano,PERSON,10912
McGoey,ORG,10912
Arbia,ORG,10912
Arbia,ORG,10912
three,CARDINAL,10912
McGoey,ORG,10912
Geraghty,PRODUCT,10912
Capano,PERSON,10912
Geraghty,PRODUCT,10912
51,DATE,10912
Iraq,GPE,10912
Afghanistan,GPE,10912
first,ORDINAL,10912
ATF,ORG,10912
Waco,GPE,10912
Texas,GPE,10912
1993,DATE,10912
John Capano,PERSON,10912
Rice,PERSON,10912
Monday,DATE,10912
Joseph Anarumo,PERSON,10912
Charge of,ORG,10912
New York,GPE,10912
"Dec. 31, 2011",DATE,10912
Anarumo,ORG,10912
Capano,PERSON,10912
McGoey,ORG,10912
four,CARDINAL,10912
three,CARDINAL,10912
1990,DATE,10912
Geraghty,PRODUCT,10912
Brian Davis,PERSON,10912
January,DATE,10912
Geraghty,PRODUCT,10912
the NYPD Patrolman’s Benevolent Association,ORG,10912
Arbia,ORG,10912
one,CARDINAL,10912
two,CARDINAL,10912
Long Island,LOC,10912
last year,DATE,10912
June 2011,DATE,10912
Medford,GPE,10912
two,CARDINAL,10912
two,CARDINAL,10912
US,GPE,10912
81 percent,PERCENT,10912
between 2006 and 2010,DATE,10912
380,CARDINAL,10912
686,CARDINAL,10912
the US Drug Enforcement Administration,ORG,10912
