subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,16611
Washington D.C.,twinned administrative body,Maryland,16611
Alabama,shares border with,Washington D.C.,16611
Arizona,shares border with,Washington D.C.,16611
California,shares border with,Washington D.C.,16611
Illinois,shares border with,Washington D.C.,16611
Missouri,shares border with,Washington D.C.,16611
Nevada,shares border with,Washington D.C.,16611
New Jersey,shares border with,Washington D.C.,16611
New York,shares border with,Washington D.C.,16611
Alabama,shares border with,Washington D.C.,16611
Arizona,shares border with,Washington D.C.,16611
California,shares border with,Washington D.C.,16611
Illinois,shares border with,Washington D.C.,16611
Missouri,shares border with,Washington D.C.,16611
Nevada,shares border with,Washington D.C.,16611
New Jersey,shares border with,Washington D.C.,16611
New Mexico,shares border with,Washington D.C.,16611
