subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,16149
Washington D.C.,twinned administrative body,Maryland,16149
Alabama,shares border with,Washington D.C.,16149
Arizona,shares border with,Washington D.C.,16149
California,shares border with,Washington D.C.,16149
Illinois,shares border with,Washington D.C.,16149
Missouri,shares border with,Washington D.C.,16149
Nevada,shares border with,Washington D.C.,16149
New Jersey,shares border with,Washington D.C.,16149
New York,shares border with,Washington D.C.,16149
Alabama,shares border with,Washington D.C.,16149
Arizona,shares border with,Washington D.C.,16149
California,shares border with,Washington D.C.,16149
Illinois,shares border with,Washington D.C.,16149
Missouri,shares border with,Washington D.C.,16149
Nevada,shares border with,Washington D.C.,16149
New Jersey,shares border with,Washington D.C.,16149
New Mexico,shares border with,Washington D.C.,16149
