subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,31287
Washington D.C.,twinned administrative body,Maryland,31287
Alabama,shares border with,Washington D.C.,31287
Arizona,shares border with,Washington D.C.,31287
California,shares border with,Washington D.C.,31287
Illinois,shares border with,Washington D.C.,31287
Missouri,shares border with,Washington D.C.,31287
Nevada,shares border with,Washington D.C.,31287
New Jersey,shares border with,Washington D.C.,31287
New York,shares border with,Washington D.C.,31287
Alabama,shares border with,Washington D.C.,31287
Arizona,shares border with,Washington D.C.,31287
California,shares border with,Washington D.C.,31287
Illinois,shares border with,Washington D.C.,31287
Missouri,shares border with,Washington D.C.,31287
Nevada,shares border with,Washington D.C.,31287
New Jersey,shares border with,Washington D.C.,31287
New Mexico,shares border with,Washington D.C.,31287
