subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,6054
Washington D.C.,twinned administrative body,Maryland,6054
Alabama,shares border with,Washington D.C.,6054
Arizona,shares border with,Washington D.C.,6054
California,shares border with,Washington D.C.,6054
Illinois,shares border with,Washington D.C.,6054
Missouri,shares border with,Washington D.C.,6054
Nevada,shares border with,Washington D.C.,6054
New Jersey,shares border with,Washington D.C.,6054
New York,shares border with,Washington D.C.,6054
Alabama,shares border with,Washington D.C.,6054
Arizona,shares border with,Washington D.C.,6054
California,shares border with,Washington D.C.,6054
Illinois,shares border with,Washington D.C.,6054
Missouri,shares border with,Washington D.C.,6054
Nevada,shares border with,Washington D.C.,6054
New Jersey,shares border with,Washington D.C.,6054
New Mexico,shares border with,Washington D.C.,6054
