text,label,fe_id
three-hour,TIME,1831
Cambridge,GPE,1831
East Cambridge,GPE,1831
Wednesday,DATE,1831
59-year-old,DATE,1831
Daniel Furtado,PERSON,1831
Furtado,PERSON,1831
Furtado,PERSON,1831
one,CARDINAL,1831
the Boston Globe,ORG,1831
Wednesday morning,TIME,1831
approximately four hours,TIME,1831
Furtado,PERSON,1831
Fay DeFrancesco,PERSON,1831
Several minutes later,TIME,1831
DeFrancesco,ORG,1831
DeFrancesco,PERSON,1831
Furtado,GPE,1831
Globe,ORG,1831
Furtado,PERSON,1831
Furtado,PERSON,1831
Joe Raposo,PERSON,1831
Globe,ORG,1831
Cambridge Police Department,ORG,1831
second,ORDINAL,1831
two weeks,DATE,1831
Boston,GPE,1831
Jonathan M. Schleder,PERSON,1831
