subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,7298
Washington D.C.,twinned administrative body,Maryland,7298
Alabama,shares border with,Washington D.C.,7298
Arizona,shares border with,Washington D.C.,7298
California,shares border with,Washington D.C.,7298
Illinois,shares border with,Washington D.C.,7298
Missouri,shares border with,Washington D.C.,7298
Nevada,shares border with,Washington D.C.,7298
New Jersey,shares border with,Washington D.C.,7298
New York,shares border with,Washington D.C.,7298
Alabama,shares border with,Washington D.C.,7298
Arizona,shares border with,Washington D.C.,7298
California,shares border with,Washington D.C.,7298
Illinois,shares border with,Washington D.C.,7298
Missouri,shares border with,Washington D.C.,7298
Nevada,shares border with,Washington D.C.,7298
New Jersey,shares border with,Washington D.C.,7298
New Mexico,shares border with,Washington D.C.,7298
