subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,27581
Washington D.C.,twinned administrative body,Maryland,27581
Alabama,shares border with,Washington D.C.,27581
Arizona,shares border with,Washington D.C.,27581
California,shares border with,Washington D.C.,27581
Illinois,shares border with,Washington D.C.,27581
Missouri,shares border with,Washington D.C.,27581
Nevada,shares border with,Washington D.C.,27581
New Jersey,shares border with,Washington D.C.,27581
New York,shares border with,Washington D.C.,27581
Alabama,shares border with,Washington D.C.,27581
Arizona,shares border with,Washington D.C.,27581
California,shares border with,Washington D.C.,27581
Illinois,shares border with,Washington D.C.,27581
Missouri,shares border with,Washington D.C.,27581
Nevada,shares border with,Washington D.C.,27581
New Jersey,shares border with,Washington D.C.,27581
New Mexico,shares border with,Washington D.C.,27581
