subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,10987
Washington D.C.,twinned administrative body,Maryland,10987
Alabama,shares border with,Washington D.C.,10987
Arizona,shares border with,Washington D.C.,10987
California,shares border with,Washington D.C.,10987
Illinois,shares border with,Washington D.C.,10987
Missouri,shares border with,Washington D.C.,10987
Nevada,shares border with,Washington D.C.,10987
New Jersey,shares border with,Washington D.C.,10987
New York,shares border with,Washington D.C.,10987
Alabama,shares border with,Washington D.C.,10987
Arizona,shares border with,Washington D.C.,10987
California,shares border with,Washington D.C.,10987
Illinois,shares border with,Washington D.C.,10987
Missouri,shares border with,Washington D.C.,10987
Nevada,shares border with,Washington D.C.,10987
New Jersey,shares border with,Washington D.C.,10987
New Mexico,shares border with,Washington D.C.,10987
