subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,2176
Washington D.C.,twinned administrative body,Maryland,2176
Alabama,shares border with,Washington D.C.,2176
Arizona,shares border with,Washington D.C.,2176
California,shares border with,Washington D.C.,2176
Illinois,shares border with,Washington D.C.,2176
Missouri,shares border with,Washington D.C.,2176
Nevada,shares border with,Washington D.C.,2176
New Jersey,shares border with,Washington D.C.,2176
New York,shares border with,Washington D.C.,2176
Alabama,shares border with,Washington D.C.,2176
Arizona,shares border with,Washington D.C.,2176
California,shares border with,Washington D.C.,2176
Illinois,shares border with,Washington D.C.,2176
Missouri,shares border with,Washington D.C.,2176
Nevada,shares border with,Washington D.C.,2176
New Jersey,shares border with,Washington D.C.,2176
New Mexico,shares border with,Washington D.C.,2176
