subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,14224
Washington D.C.,twinned administrative body,Maryland,14224
Alabama,shares border with,Washington D.C.,14224
Arizona,shares border with,Washington D.C.,14224
California,shares border with,Washington D.C.,14224
Illinois,shares border with,Washington D.C.,14224
Missouri,shares border with,Washington D.C.,14224
Nevada,shares border with,Washington D.C.,14224
New Jersey,shares border with,Washington D.C.,14224
New York,shares border with,Washington D.C.,14224
Alabama,shares border with,Washington D.C.,14224
Arizona,shares border with,Washington D.C.,14224
California,shares border with,Washington D.C.,14224
Illinois,shares border with,Washington D.C.,14224
Missouri,shares border with,Washington D.C.,14224
Nevada,shares border with,Washington D.C.,14224
New Jersey,shares border with,Washington D.C.,14224
New Mexico,shares border with,Washington D.C.,14224
