text,label,fe_id
Phillipsburg,GPE,15380
Monday,DATE,15380
morning,TIME,15380
Thomas Read,PERSON,15380
36,DATE,15380
400,CARDINAL,15380
South Main Street,LOC,15380
Phillipsburg,GPE,15380
3:10 p.m.,TIME,15380
Monday,DATE,15380
St. Luke’s University Hospital,ORG,15380
Fountain Hill,GPE,15380
Coroner Scott Grim,PERSON,15380
the Warren County Prosecutor’s,ORG,15380
just before 9:30 a.m.,TIME,15380
St. Luke’s Hospital,ORG,15380
Warren County,GPE,15380
first,ORDINAL,15380
Three,CARDINAL,15380
Phillipsburg,ORG,15380
