subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,27136
Washington D.C.,twinned administrative body,Maryland,27136
Alabama,shares border with,Washington D.C.,27136
Arizona,shares border with,Washington D.C.,27136
California,shares border with,Washington D.C.,27136
Illinois,shares border with,Washington D.C.,27136
Missouri,shares border with,Washington D.C.,27136
Nevada,shares border with,Washington D.C.,27136
New Jersey,shares border with,Washington D.C.,27136
New York,shares border with,Washington D.C.,27136
Alabama,shares border with,Washington D.C.,27136
Arizona,shares border with,Washington D.C.,27136
California,shares border with,Washington D.C.,27136
Illinois,shares border with,Washington D.C.,27136
Missouri,shares border with,Washington D.C.,27136
Nevada,shares border with,Washington D.C.,27136
New Jersey,shares border with,Washington D.C.,27136
New Mexico,shares border with,Washington D.C.,27136
