subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,4908
Washington D.C.,twinned administrative body,Maryland,4908
Alabama,shares border with,Washington D.C.,4908
Arizona,shares border with,Washington D.C.,4908
California,shares border with,Washington D.C.,4908
Illinois,shares border with,Washington D.C.,4908
Missouri,shares border with,Washington D.C.,4908
Nevada,shares border with,Washington D.C.,4908
New Jersey,shares border with,Washington D.C.,4908
New York,shares border with,Washington D.C.,4908
Alabama,shares border with,Washington D.C.,4908
Arizona,shares border with,Washington D.C.,4908
California,shares border with,Washington D.C.,4908
Illinois,shares border with,Washington D.C.,4908
Missouri,shares border with,Washington D.C.,4908
Nevada,shares border with,Washington D.C.,4908
New Jersey,shares border with,Washington D.C.,4908
New Mexico,shares border with,Washington D.C.,4908
