subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,25525
Washington D.C.,twinned administrative body,Maryland,25525
Alabama,shares border with,Washington D.C.,25525
Arizona,shares border with,Washington D.C.,25525
California,shares border with,Washington D.C.,25525
Illinois,shares border with,Washington D.C.,25525
Missouri,shares border with,Washington D.C.,25525
Nevada,shares border with,Washington D.C.,25525
New Jersey,shares border with,Washington D.C.,25525
New York,shares border with,Washington D.C.,25525
Alabama,shares border with,Washington D.C.,25525
Arizona,shares border with,Washington D.C.,25525
California,shares border with,Washington D.C.,25525
Illinois,shares border with,Washington D.C.,25525
Missouri,shares border with,Washington D.C.,25525
Nevada,shares border with,Washington D.C.,25525
New Jersey,shares border with,Washington D.C.,25525
New Mexico,shares border with,Washington D.C.,25525
