subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,7190
Washington D.C.,twinned administrative body,Maryland,7190
Alabama,shares border with,Washington D.C.,7190
Arizona,shares border with,Washington D.C.,7190
California,shares border with,Washington D.C.,7190
Illinois,shares border with,Washington D.C.,7190
Missouri,shares border with,Washington D.C.,7190
Nevada,shares border with,Washington D.C.,7190
New Jersey,shares border with,Washington D.C.,7190
New York,shares border with,Washington D.C.,7190
Alabama,shares border with,Washington D.C.,7190
Arizona,shares border with,Washington D.C.,7190
California,shares border with,Washington D.C.,7190
Illinois,shares border with,Washington D.C.,7190
Missouri,shares border with,Washington D.C.,7190
Nevada,shares border with,Washington D.C.,7190
New Jersey,shares border with,Washington D.C.,7190
New Mexico,shares border with,Washington D.C.,7190
