subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,5253
Washington D.C.,twinned administrative body,Maryland,5253
Alabama,shares border with,Washington D.C.,5253
Arizona,shares border with,Washington D.C.,5253
California,shares border with,Washington D.C.,5253
Illinois,shares border with,Washington D.C.,5253
Missouri,shares border with,Washington D.C.,5253
Nevada,shares border with,Washington D.C.,5253
New Jersey,shares border with,Washington D.C.,5253
New York,shares border with,Washington D.C.,5253
Alabama,shares border with,Washington D.C.,5253
Arizona,shares border with,Washington D.C.,5253
California,shares border with,Washington D.C.,5253
Illinois,shares border with,Washington D.C.,5253
Missouri,shares border with,Washington D.C.,5253
Nevada,shares border with,Washington D.C.,5253
New Jersey,shares border with,Washington D.C.,5253
New Mexico,shares border with,Washington D.C.,5253
