subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,28933
Washington D.C.,twinned administrative body,Maryland,28933
Alabama,shares border with,Washington D.C.,28933
Arizona,shares border with,Washington D.C.,28933
California,shares border with,Washington D.C.,28933
Illinois,shares border with,Washington D.C.,28933
Missouri,shares border with,Washington D.C.,28933
Nevada,shares border with,Washington D.C.,28933
New Jersey,shares border with,Washington D.C.,28933
New York,shares border with,Washington D.C.,28933
Alabama,shares border with,Washington D.C.,28933
Arizona,shares border with,Washington D.C.,28933
California,shares border with,Washington D.C.,28933
Illinois,shares border with,Washington D.C.,28933
Missouri,shares border with,Washington D.C.,28933
Nevada,shares border with,Washington D.C.,28933
New Jersey,shares border with,Washington D.C.,28933
New Mexico,shares border with,Washington D.C.,28933
