subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,3261
Washington D.C.,twinned administrative body,Maryland,3261
Alabama,shares border with,Washington D.C.,3261
Arizona,shares border with,Washington D.C.,3261
California,shares border with,Washington D.C.,3261
Illinois,shares border with,Washington D.C.,3261
Missouri,shares border with,Washington D.C.,3261
Nevada,shares border with,Washington D.C.,3261
New Jersey,shares border with,Washington D.C.,3261
New York,shares border with,Washington D.C.,3261
Alabama,shares border with,Washington D.C.,3261
Arizona,shares border with,Washington D.C.,3261
California,shares border with,Washington D.C.,3261
Illinois,shares border with,Washington D.C.,3261
Missouri,shares border with,Washington D.C.,3261
Nevada,shares border with,Washington D.C.,3261
New Jersey,shares border with,Washington D.C.,3261
New Mexico,shares border with,Washington D.C.,3261
