subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,8413
Washington D.C.,twinned administrative body,Maryland,8413
Alabama,shares border with,Washington D.C.,8413
Arizona,shares border with,Washington D.C.,8413
California,shares border with,Washington D.C.,8413
Illinois,shares border with,Washington D.C.,8413
Missouri,shares border with,Washington D.C.,8413
Nevada,shares border with,Washington D.C.,8413
New Jersey,shares border with,Washington D.C.,8413
New York,shares border with,Washington D.C.,8413
Alabama,shares border with,Washington D.C.,8413
Arizona,shares border with,Washington D.C.,8413
California,shares border with,Washington D.C.,8413
Illinois,shares border with,Washington D.C.,8413
Missouri,shares border with,Washington D.C.,8413
Nevada,shares border with,Washington D.C.,8413
New Jersey,shares border with,Washington D.C.,8413
New Mexico,shares border with,Washington D.C.,8413
